,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
40711,0,1,metaverse copyright problem,/watch?v=Ku1ykhGP764,Youtube copyright seriously pisses me off.. 📰PEW NEWS 📰,/user/PewDiePie,3M views,10 months ago,111M subscribers,"
              Totally Not Mark
            ",Thank you for the support.,"
    73K
  ",10 months ago,1,0,3000000,73000
15925,6,1,metaverse copyright problem,/watch?v=mufeRQYgqZc,I Spent 100 Days in the Metaverse,/c/trahan,30M views,7 months ago,10.7M subscribers,"
              VEE3RDEYE
            ",It would have been so funny if Klay showed up to mcdonalds in his storm trooper outfit,"
    69K
  ",7 months ago,7,0,30000000,69000
15942,23,1,metaverse copyright problem,/watch?v=mufeRQYgqZc,I Spent 100 Days in the Metaverse,/c/trahan,30M views,7 months ago,10.7M subscribers,"
              Ben Echo
            ",This had a better storyline than most movies these days...,"
    61K
  ",7 months ago,7,0,30000000,61000
5086,6,1,metaverse copyright problem,/watch?v=YQ_xWvX1n9g,Line Goes Up – The Problem With NFTs,/c/FoldingIdeas,9.3M views,8 months ago,748K subscribers,"
              raspberry
            ","I'm sick of people bashing the obvious utility of NFTs. The ease with which I can look at a person's profile, see their involvement with NFTs, and then identify them as a blood sucking sociopath is revolutionary.","
    37K
  ",8 months ago,8,0,9300000,37000
4855,55,1,metaverse copyright problem,/watch?v=1Jwo5qc78QU,YouTube's Copyright System Isn't Broken. The World's Is.,/c/TomScottGo,7.5M views,2 years ago,5.43M subscribers,"
              Edison Yi
            ",Love how Tom always looks simultaneously 24 and 42.,"
    34K
  ",2 years ago,24,2,7500000,34000
5242,162,1,metaverse copyright problem,/watch?v=YQ_xWvX1n9g,Line Goes Up – The Problem With NFTs,/c/FoldingIdeas,9.3M views,8 months ago,748K subscribers,"
              AveragePixel
            ",Thank you for increasing my fear of NFTs for reasons i'd never before considered,"
    30K
  ",8 months ago,8,0,9300000,30000
4800,0,1,metaverse copyright problem,/watch?v=1Jwo5qc78QU,YouTube's Copyright System Isn't Broken. The World's Is.,/c/TomScottGo,7.5M views,2 years ago,5.43M subscribers,"
              Tom Scott
            ","Yep, 42 minutes of video. This was a big project. Plus: I've got an all-new five-part original series called Money over on Nebula, which you can watch as a bundle with CuriosityStream! https://curiositystream.com/tomscott","
    28K
  ",2 years ago,24,2,7500000,28000
21219,0,1,metaverse copyright problem,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,3.82M subscribers,"
              Self William
            ",This is by far the most inspiring thing ive ever seen...im inspired to throw away every electronic i own and run to live in the forest,"
    28K
  ",10 months ago,1,0,4600000,28000
2572,12,1,metaverse copyright problem,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,11.8M subscribers,"
              AuthenTech - Ben Schmanke
            ",I think I’ve seen this meta thing play out in some movies…. It never ended well,"
    25K
  ",10 months ago,1,0,4200000,25000
27092,1,1,metaverse copyright problem,/watch?v=yo7-vKKsGKo,The Metaverse is So Stupid,/c/EddyBurback,1.8M views,7 months ago,1.24M subscribers,"
              Spacedino
            ","Mark wants to sell experiences that are free to us. Like hanging out with friends, having a gaming night, and more. Mark literally wants to capitalizes on social experience.","
    22K
  ",7 months ago,7,0,1800000,22000
6,6,1,metaverse copyright problem,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,8.15M subscribers,"
              Carrington Ndhlovu
            ",Whoever bullied this dude in high school please just apologize. He's off the rails.,"
    21K
  ",9 months ago,9,0,5800000,21000
9924,1,1,metaverse copyright problem,/watch?v=C8yE3FnLdyc,The Real Reason Facebook Wants A Metaverse,/c/GeographyHub,1.9M views,11 months ago,887K subscribers,"
              Gh0s
            ","I can not imagine people unironically using meta or VR for business meetings
imagine being fired by your boss's fursona","
    19K
  ",11 months ago (edited),1,0,1900000,19000
7083,2003,1,metaverse copyright problem,/watch?v=YQ_xWvX1n9g,Line Goes Up – The Problem With NFTs,/c/FoldingIdeas,9.3M views,8 months ago,748K subscribers,"
              hbomberguy
            ",I've already watched this video about 6 times,"
    18K
  ",8 months ago,8,0,9300000,18000
17782,43,1,metaverse copyright problem,/watch?v=_AJDcfeOXPA,Bill Maher Needs to Stop Talking,/c/EddyBurback,1.6M views,11 months ago,1.24M subscribers,"
              Razbuten
            ","All of Bill Maher's opinions on influencers/creators seem to come from a place of insecurity because of how new media is eclipsing old media. I imagine ratings have only gone down for him over the years, and he probably holds a lot of resentment towards the creators people are choosing to watch instead of him. It radiates ""it must be the children who are wrong!"" energy.","
    18K
  ",11 months ago (edited),1,0,1600000,18000
40753,42,1,metaverse copyright problem,/watch?v=Ku1ykhGP764,Youtube copyright seriously pisses me off.. 📰PEW NEWS 📰,/user/PewDiePie,3M views,10 months ago,111M subscribers,"
              Last- Dude
            ","PewDiePie, you have to send an email to the distributor (Repost Network and SoundCloud) and inform them that your song was uploaded to their platform without your permission, that the uploader is using content ID to copyright the people who use your song and thus take the royalties from those videos, they won't take more than 2 days and the guy's account will be deleted and hopefully pay a compensation.
Hope it works!","
    18K
  ",10 months ago,1,0,3000000,18000
