,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
48743,0,4,metaverse defamation,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Self William
            ",This is by far the most inspiring thing ive ever seen...im inspired to throw away every electronic i own and run to live in the forest,"
    28K
  ",10 months ago,1,0,4600000,28000
45316,6,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Carrington Ndhlovu
            ",Whoever bullied this dude in high school please just apologize. He's off the rails.,"
    21K
  ",9 months ago,9,0,5800000,21000
45310,0,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              mcnuggs
            ","It’s insane how Zuckerberg and 
Bezos somehow managed to make virtual reality and astronauts uncool.","
    14K
  ",10 months ago,1,0,5800000,14000
48761,18,4,metaverse defamation,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Alessandra
            ",It literally looks like something that will make everyone more sad and lonely.,"
    14K
  ",9 months ago,9,0,4600000,14000
45322,12,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Xaviera Cárdenas
            ","I mean, Mark could just grab his millions and live a proper life filled with hobbies and joy. But he chooses to turn the world into a dystopian sci-fi society. Thanks man.","
    13K
  ",9 months ago,9,0,5800000,13000
45466,156,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Kuba L
            ",I love how Meta is literally the plot of an episode of Black Mirror.,"
    11K
  ",10 months ago,1,0,5800000,11000
45328,18,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Alexa
            ","It's insane how the most poorly socialized, emotionally unavailable people of our society are setting the standards for human interaction.","
    9.3K
  ",9 months ago,9,0,5800000,9300
53628,1,4,metaverse defamation,/watch?v=DpE5cBgl11U,A terrifying prediction for 2030 (the Great Reset),/c/SorelleAmoreFinance,2M views,5 months ago,0,"
              Carrie Langley
            ",Am I the only one who finds all of this terrifyingly creepy? The mega rich are so full of themselves they think they can decide what’s best for others without their consent?,"
    8.4K
  ",5 months ago,5,0,2000000,8400
48755,12,4,metaverse defamation,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              arip mk
            ",The world has literally started feeling like a sci-fi movie.,"
    6.1K
  ",10 months ago,1,0,4600000,6100
45358,48,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              JP2GiannaT
            ",I love how literally EVERYONE thinks this a bad idea.,"
    5.8K
  ",9 months ago,9,0,5800000,5800
48802,59,4,metaverse defamation,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Daniel Cai
            ",I don't want to be trapped in Facebookland. I just want to hang out with my friends in the real world and chill.,"
    5.6K
  ",10 months ago,1,0,4600000,5600
45374,64,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Alexander Supertramp
            ","As someone who doesn't use any social media other than YouTube, I'm not sure why people can't pull themselves away from the thing that is so obviously ruining their lives. Not that YouTube is innocent in all this either.","
    5.4K
  ",10 months ago,1,0,5800000,5400
45346,36,4,metaverse defamation,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              world2tend
            ","I have stop using Facebook 6 years ago. The reason is, there is so much hate being spread around unnecessarily, making my life stressful. You guys should do it too.","
    5.4K
  ",10 months ago (edited),1,0,5800000,5400
