,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
24362,0,2,metaverse harrassment,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.4M views,9 months ago,0,"
              Self William
            ",This is by far the most inspiring thing ive ever seen...im inspired to throw away every electronic i own and run to live in the forest,"
    27K
  ",8 months ago,8,0,4400000,27000
8161,0,2,metaverse harrassment,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.4M views,9 months ago,0,"
              Self William
            ",This is by far the most inspiring thing ive ever seen...im inspired to throw away every electronic i own and run to live in the forest,"
    27K
  ",8 months ago,8,0,4400000,27000
40225,0,2,metaverse harrassment,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              AuthenTech - Ben Schmanke
            ",I think I’ve seen this meta thing play out in some movies…. It never ended well,"
    25K
  ",8 months ago,8,0,4099999,25000
12966,0,2,metaverse harrassment,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,8.03M subscribers,"
              Carrington Ndhlovu
            ",Whoever bullied this dude in high school please just apologize. He's off the rails.,"
    20K
  ",7 months ago,7,0,5800000,20000
29753,0,2,metaverse harrassment,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Carrington Ndhlovu
            ",Whoever bullied this dude in high school please just apologize. He's off the rails.,"
    20K
  ",7 months ago,7,0,5800000,20000
40231,6,2,metaverse harrassment,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              Shellrockguy
            ","Can’t wait for everyone to be consumed on their vr headset, while I stay outside and have peace and quiet in the real world","
    17K
  ",8 months ago (edited),8,0,4099999,17000
12972,6,2,metaverse harrassment,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,8.03M subscribers,"
              mcnuggs
            ","It’s insane how Zuckerberg and 
Bezos somehow managed to make virtual reality and astronauts uncool.","
    14K
  ",8 months ago,8,0,5800000,14000
8167,6,2,metaverse harrassment,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.4M views,9 months ago,0,"
              Alessandra
            ",It literally looks like something that will make everyone more sad and lonely.,"
    14K
  ",7 months ago,7,0,4400000,14000
29783,30,2,metaverse harrassment,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              mcnuggs
            ","It’s insane how Zuckerberg and 
Bezos somehow managed to make virtual reality and astronauts uncool.","
    14K
  ",8 months ago,8,0,5800000,14000
24368,6,2,metaverse harrassment,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.4M views,9 months ago,0,"
              Alessandra
            ",It literally looks like something that will make everyone more sad and lonely.,"
    14K
  ",7 months ago,7,0,4400000,14000
