,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
26873,13,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
               ShortHax
            ",Maybe electing people who won’t be alive for society’s collapse isn’t such a bright idea,"
    42K
  ",10 months ago,1,0,10000000,42000
26861,1,3,metaverse privacy issue,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Sean Whearty
            ","Hey guys. If we work really hard, we can achieve that goal by 2030","
    34K
  ",10 months ago,1,0,10000000,34000
31765,0,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Self William
            ",This is by far the most inspiring thing ive ever seen...im inspired to throw away every electronic i own and run to live in the forest,"
    28K
  ",10 months ago,1,0,4600000,28000
29175,12,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              AuthenTech - Ben Schmanke
            ",I think I’ve seen this meta thing play out in some movies…. It never ended well,"
    25K
  ",10 months ago,1,0,4200000,25000
21851,6,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Carrington Ndhlovu
            ",Whoever bullied this dude in high school please just apologize. He's off the rails.,"
    21K
  ",9 months ago,9,0,5800000,21000
29169,6,3,metaverse privacy issue,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.2M views,10 months ago,0,"
              Shellrockguy
            ","Can’t wait for everyone to be consumed on their vr headset, while I stay outside and have peace and quiet in the real world","
    17K
  ",10 months ago (edited),1,0,4200000,17000
31783,18,3,metaverse privacy issue,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Alessandra
            ",It literally looks like something that will make everyone more sad and lonely.,"
    14K
  ",9 months ago,9,0,4600000,14000
21845,0,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              mcnuggs
            ","It’s insane how Zuckerberg and 
Bezos somehow managed to make virtual reality and astronauts uncool.","
    14K
  ",10 months ago,1,0,5800000,14000
21857,12,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Xaviera Cárdenas
            ","I mean, Mark could just grab his millions and live a proper life filled with hobbies and joy. But he chooses to turn the world into a dystopian sci-fi society. Thanks man.","
    13K
  ",9 months ago,9,0,5800000,13000
22001,156,3,metaverse privacy issue,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Kuba L
            ",I love how Meta is literally the plot of an episode of Black Mirror.,"
    11K
  ",10 months ago,1,0,5800000,11000
