,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
49636,0,2,metaverse privacy,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              AuthenTech - Ben Schmanke
            ",I think I’ve seen this meta thing play out in some movies…. It never ended well,"
    25K
  ",9 months ago,9,0,4099999,25000
43457,0,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Carrington Ndhlovu
            ",Whoever bullied this dude in high school please just apologize. He's off the rails.,"
    20K
  ",7 months ago,7,0,5800000,20000
51963,6,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Ace Videos
            ",This video makes me want to get rid of my devices and get out in the real world.,"
    18K
  ",8 months ago,8,0,5800000,18000
49642,6,2,metaverse privacy,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              Shellrockguy
            ","Can’t wait for everyone to be consumed on their vr headset, while I stay outside and have peace and quiet in the real world","
    17K
  ",8 months ago (edited),8,0,4099999,17000
43481,24,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              mcnuggs
            ","It’s insane how Zuckerberg and 
Bezos somehow managed to make virtual reality and astronauts uncool.","
    14K
  ",8 months ago,8,0,5800000,14000
51957,0,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Nayde
            ",imagine how depressing it would be to celebrate your birthday with VR with a virtual cake and friends and then you take off your VR headset and realise you're actually all alone ...,"
    13K
  ",9 months ago (edited),9,0,5800000,13000
43463,6,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Xaviera Cárdenas
            ","I mean, Mark could just grab his millions and live a proper life filled with hobbies and joy. But he chooses to turn the world into a dystopian sci-fi society. Thanks man.","
    13K
  ",7 months ago,7,0,5800000,13000
43538,81,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Kuba L
            ",I love how Meta is literally the plot of an episode of Black Mirror.,"
    11K
  ",8 months ago,8,0,5800000,11000
51987,30,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              ZtxOne
            ","He recently got a firmware update, he's acting a bit more human, excellent job to the devs. Can't wait for the next update.","
    9.9K
  ",9 months ago,9,0,5800000,9900
52134,177,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Holly James
            ","This really, really feels like an episode of Black Mirror…","
    9.3K
  ",9 months ago,9,0,5800000,9300
43487,30,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Alexa
            ","It's insane how the most poorly socialized, emotionally unavailable people of our society are setting the standards for human interaction.","
    9.3K
  ",7 months ago,7,0,5800000,9300
49708,72,2,metaverse privacy,/watch?v=RgJwPco3wew,The Metaverse could be a problem.,/c/Mrwhosetheboss,4.1M views,9 months ago,0,"
              Six
            ",The Metaverse would be really scary if Facebook owned it to begin with. Stuff like this shouldn't be owned by a company that already has such a detailed profile of all of their users.,"
    9.1K
  ",8 months ago,8,0,4099999,9100
52105,148,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Dan dookie
            ",Yo this is LITERALLY what every evil company in sci-fi movies do,"
    9K
  ",9 months ago,9,0,5800000,9000
54209,12,2,metaverse privacy,/watch?v=wqn3gR1WTcA,Data Brokers: Last Week Tonight with John Oliver (HBO),/user/LastWeekTonight,6.9M views,4 months ago,0,"
              TheyCallMeFilep
            ","If Congress passes laws that John Oliver's demanding to get passed here, then this will be hands-down the best use of HBO's money he's made so far.","
    8.9K
  ",4 months ago,4,0,6900000,8900
53167,1210,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Herr Fuchs
            ",i'm excited when i'm walking through a flower field of ads on my daily commute,"
    8.5K
  ",9 months ago,9,0,5800000,8500
54197,0,2,metaverse privacy,/watch?v=wqn3gR1WTcA,Data Brokers: Last Week Tonight with John Oliver (HBO),/user/LastWeekTonight,6.9M views,4 months ago,0,"
              Misty D. Hudson
            ",Let's give a round of applause to the HBO lawyers who help LWT keep these shenanigans going.,"
    8.2K
  ",4 months ago,4,0,6900000,8200
53147,1190,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              OUT OF DARTS
            ","Anyone else feel like Mark’s arms are robotic, like an algorithm?","
    7.1K
  ",9 months ago,9,0,5800000,7100
43516,59,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              JP2GiannaT
            ",I love how literally EVERYONE thinks this a bad idea.,"
    5.8K
  ",7 months ago,7,0,5800000,5800
53374,1417,2,metaverse privacy,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,9 months ago,0,"
              Mental Outlaw
            ",who loaded the Italian speech files onto Zuck for this?  He can't stop moving his arms!,"
    5.7K
  ",9 months ago,9,0,5800000,5700
43528,71,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Alexander Supertramp
            ","As someone who doesn't use any social media other than YouTube, I'm not sure why people can't pull themselves away from the thing that is so obviously ruining their lives. Not that YouTube is innocent in all this either.","
    5.4K
  ",8 months ago,8,0,5800000,5400
43510,53,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              world2tend
            ","I have stop using Facebook 6 years ago. The reason is, there is so much hate being spread around unnecessarily, making my life stressful. You guys should do it too.","
    5.4K
  ",8 months ago (edited),8,0,5800000,5400
43493,36,2,metaverse privacy,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,8 months ago,0,"
              Hades
            ","No matter what you say about the Metaverse (scary as name as well) you will never, NEVER get the same feeling of climbing a mountain in real life or meeting with friends in a restaurant. Some things technology cannot replicate are real feelings that make us happy.","
    5K
  ",7 months ago,7,0,5800000,5000
