,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
3999,6,3,metaverse violent,/watch?v=mufeRQYgqZc,I Spent 100 Days in the Metaverse,/c/trahan,30M views,7 months ago,0,"
              VEE3RDEYE
            ",It would have been so funny if Klay showed up to mcdonalds in his storm trooper outfit,"
    69K
  ",7 months ago,7,0,30000000,69000
4016,23,3,metaverse violent,/watch?v=mufeRQYgqZc,I Spent 100 Days in the Metaverse,/c/trahan,30M views,7 months ago,0,"
              Ben Echo
            ",This had a better storyline than most movies these days...,"
    61K
  ",7 months ago,7,0,30000000,61000
7053,0,3,metaverse violent,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Self William
            ",This is by far the most inspiring thing ive ever seen...im inspired to throw away every electronic i own and run to live in the forest,"
    28K
  ",10 months ago,1,0,4600000,28000
17759,60,3,metaverse violent,/watch?v=R-lUABgtX5I,This Metaverse “Influencer” is Creepy and Weird,/c/JarvisJohnsonGOLD,1.2M views,1 month ago,0,"
              MadHatt3r
            ","Jarvis, Hatsune Miku isn't JUST the first virtual influencer, she's OLDER THAN THE CONCEPT OF INFLUENCERS! She really is an og","
    21K
  ",1 month ago,1,0,1200000,21000
17711,12,3,metaverse violent,/watch?v=R-lUABgtX5I,This Metaverse “Influencer” is Creepy and Weird,/c/JarvisJohnsonGOLD,1.2M views,1 month ago,0,"
              Lottaca
            ",The fact they made her with a mask so she wouldn't need lipsync feels like when an artist hides the hand behind the back so they won't have to draw it,"
    16K
  ",1 month ago,1,0,1200000,16000
7071,18,3,metaverse violent,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Alessandra
            ",It literally looks like something that will make everyone more sad and lonely.,"
    14K
  ",9 months ago,9,0,4600000,14000
17705,6,3,metaverse violent,/watch?v=R-lUABgtX5I,This Metaverse “Influencer” is Creepy and Weird,/c/JarvisJohnsonGOLD,1.2M views,1 month ago,0,"
              Skitterly
            ","Girl could have easily rhymed “I’m not steel and wires” with “Ive got real world desires” but noooo, we can’t have that because this song was written in under 5 seconds","
    13K
  ",1 month ago (edited),1,0,1200000,13000
17717,18,3,metaverse violent,/watch?v=R-lUABgtX5I,This Metaverse “Influencer” is Creepy and Weird,/c/JarvisJohnsonGOLD,1.2M views,1 month ago,0,"
              SomeEmoBullshit
            ","Hatsune Miku and vocaloid in general were such a phenomenon because it wasn’t just “ohh this singer doesn’t exist” but it was also a tool available for everyone to explore their creativity, across music genres, languages, etc. 

This Polar girl doesn’t bring anything new to the virtual singer thing that vocaloid and vtubers haven’t.","
    12K
  ",1 month ago,1,0,1200000,12000
14729,7,3,metaverse violent,/watch?v=Ibm3WhfLk08,Metaverse VR: Demo Experience,/c/surrealentertainment,4.1M views,10 months ago,0,"
              Kadz
            ","If the Metaverse is anything like this masterpiece, I’m all for it.","
    11K
  ",10 months ago,1,0,4099999,11000
17700,1,3,metaverse violent,/watch?v=R-lUABgtX5I,This Metaverse “Influencer” is Creepy and Weird,/c/JarvisJohnsonGOLD,1.2M views,1 month ago,0,"
              agh it's a plane
            ","Referring to miku as an ""influencer"" is a crime,she's an icon,a legend,she stabbed me outside a 7/11,she's a queen","
    10K
  ",1 month ago,1,0,1200000,10000
