,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
235,0,4,online copyright infringement,/watch?v=XzzkSZ0Jrko,"Understanding Copyright, Public Domain, and Fair Use",/c/GcflearnfreeOrgplus,414K views,4 years ago,0,"
              Sugar Cubes
            ","I had to watch this for online schooling, but great video! It really helped.","
    143
  ",2 years ago,24,2,414000,143
774,4,4,online copyright infringement,/watch?v=g0ao-l4zw0k,HOW YOU GOT CAUGHT TORRENTING!,/c/SteveVondran,23K views,3 years ago,0,"
              Alwyn Nel
            ","Caught torrenting? Your honour I don't even own a computer... come to think of it, I'm Amish","
    142
  ",3 years ago,36,3,23000,142
1089,42,4,online copyright infringement,/watch?v=68fRTF_fd0A,Can I Use That Picture in My Design? How to Legally Use Copyrighted Images Online,/c/VismeApp,201K views,3 years ago,0,"
              Heaven's Very Own
            ",Alright so what I understood from this is to wing it like a boss,"
    140
  ",2 years ago,24,2,201000,140
1086,39,4,online copyright infringement,/watch?v=68fRTF_fd0A,Can I Use That Picture in My Design? How to Legally Use Copyrighted Images Online,/c/VismeApp,201K views,3 years ago,0,"
              ThePaletteWhisperer ASMR
            ","I’m not trying to get sued before I start. Lol
Thanks","
    114
  ",2 years ago,24,2,201000,114
682,4,4,online copyright infringement,/watch?v=0JE0vtGPw_A,ALERT Use These 5 Disclaimers To Guaranty Video Will Not Be Taken Down For Copyright Infringement,/c/YouTuberLaw,82K views,4 years ago,0,"
              Mad -Pac
            ",DISCLAIMER: The title of this video did not intend to deceive you.,"
    114
  ",4 years ago,48,4,82000,114
772,2,4,online copyright infringement,/watch?v=g0ao-l4zw0k,HOW YOU GOT CAUGHT TORRENTING!,/c/SteveVondran,23K views,3 years ago,0,"
              [Alex ]
            ",When your ISP writes you a letter that you have ILLEGALLY been downloading torrents write one back and tell them that they have been aiding and abetting.,"
    108
  ",3 years ago,36,3,23000,108
239,4,4,online copyright infringement,/watch?v=XzzkSZ0Jrko,"Understanding Copyright, Public Domain, and Fair Use",/c/GcflearnfreeOrgplus,414K views,4 years ago,0,"
              Technical Difficulties 2.0
            ","Fast Tip:

If you see a copyright symbol or description in each of the video's descriptions, don't copy it!!!!!!!!!!","
    94
  ",3 years ago,36,3,414000,94
775,5,4,online copyright infringement,/watch?v=g0ao-l4zw0k,HOW YOU GOT CAUGHT TORRENTING!,/c/SteveVondran,23K views,3 years ago,0,"
              Himeji
            ","Thank god I live in Norway, can torrent all I want.","
    80
  ",3 years ago,36,3,23000,80
695,17,4,online copyright infringement,/watch?v=0JE0vtGPw_A,ALERT Use These 5 Disclaimers To Guaranty Video Will Not Be Taken Down For Copyright Infringement,/c/YouTuberLaw,82K views,4 years ago,0,"
              Dead Meme
            ",Underrated channel.,"
    80
  ",4 years ago,48,4,82000,80
1334,0,4,online copyright infringement,/watch?v=GInW2kqCGdE,Copyright Infringement for Clothing Designs EXPLAINED,/c/ApparelSuccess,81K views,5 years ago,0,"
              Ronald Duarte
            ","damn so if huge department stores do it illegally, the chances of me getting sued are more slim to none, I might take my chances here. thanks mate","
    79
  ",2 years ago,24,2,81000,79
5,5,4,online copyright infringement,/watch?v=0JA4cK3NGXk,Etsy Copyright Infringement. Is Your Shop Breaking the Law?,/channel/UClnnOOjW0PUvRSShjyHQa4Q,23K views,3 years ago,0,"
              ohyesitsyouagain
            ","Seems impossible to even start a business, because everything’s been done already. Like if I wanted to make an apple cinnamon candle, it’s been done a million times. Feels hopeless.","
    69
  ",2 years ago (edited),24,2,23000,69
788,18,4,online copyright infringement,/watch?v=g0ao-l4zw0k,HOW YOU GOT CAUGHT TORRENTING!,/c/SteveVondran,23K views,3 years ago,0,"
              -hiromivro
            ",never had a problem using at&t but once I switched to spectrum I got caught,"
    68
  ",2 years ago,24,2,23000,68
0,0,4,online copyright infringement,/watch?v=0JA4cK3NGXk,Etsy Copyright Infringement. Is Your Shop Breaking the Law?,/channel/UClnnOOjW0PUvRSShjyHQa4Q,23K views,3 years ago,0,"
              Becca G
            ",So... it’s really just a roll of the dice if you get copyright infringements? Because I swear half of the stuff on Etsy is Fandom related stuff!,"
    60
  ",1 year ago,12,1,23000,60
1341,7,4,online copyright infringement,/watch?v=GInW2kqCGdE,Copyright Infringement for Clothing Designs EXPLAINED,/c/ApparelSuccess,81K views,5 years ago,0,"
              certified30
            ","if you are using copyrighted material to generate profit then you are definitely going to be sued, but if you are printing a copyrighted material for you own private use then you should be just fine.","
    54
  ",3 years ago,36,3,81000,54
770,0,4,online copyright infringement,/watch?v=g0ao-l4zw0k,HOW YOU GOT CAUGHT TORRENTING!,/c/SteveVondran,23K views,3 years ago,0,"
              Antarctican_Immagrants
            ","I just realized why certain torrents contain a rar with a password, and that is to keep the companys from seeing farther so they don't get hurt in the process.","
    47
  ",2 years ago,24,2,23000,47
236,1,4,online copyright infringement,/watch?v=XzzkSZ0Jrko,"Understanding Copyright, Public Domain, and Fair Use",/c/GcflearnfreeOrgplus,414K views,4 years ago,0,"
              crea
            ","Hey, thank you so much for enlightenment on the subject. It's quite essential to know more about copyright as I am a graphic designer.","
    46
  ",4 years ago,48,4,414000,46
847,1,4,online copyright infringement,/watch?v=o4NG7bx0I6k,Selling your art online? Let's talk copyright infringement,/c/EllenBrennemanStudio,25K views,4 years ago,0,"
              hyacinthdibley2
            ","Another tip i learnt is to always document your production processes....either by video or photos. Either upload photos to an online place (instagram or email), or upload a process video to YouTube (public or private). Somewhere with a legit date stamp.
I will say that when i was in undergrad and was learning graphic design, i did trace low rez works for projects if they were not 'high quality' enough for me. So i could argue that i created the work because i had 'proof' that I created them, because...well, I did, however the idea was never mine. But, i was aware of copyright laws/rules, but i also knew they were simply for class. So yeah. So please document your process and upload.

Also, another thing you could consider regarding watermarks.....I usually include my signature/name HIDDEN WITHIN the artwork as PART OF THE ART (whether drawing art or photography). This signature within NEVER goes away. You could try that. I assume it will help a lot if someone does recreate your work, and if you never uploaded the processes before they did.
Good luck to all of us.","
    43
  ",4 years ago,48,4,25000,43
779,9,4,online copyright infringement,/watch?v=g0ao-l4zw0k,HOW YOU GOT CAUGHT TORRENTING!,/c/SteveVondran,23K views,3 years ago,0,"
              kumori
            ",This is why I should use a VPN.,"
    37
  ",2 years ago,24,2,23000,37
9,9,4,online copyright infringement,/watch?v=0JA4cK3NGXk,Etsy Copyright Infringement. Is Your Shop Breaking the Law?,/channel/UClnnOOjW0PUvRSShjyHQa4Q,23K views,3 years ago,0,"
              Hi Kevin
            ","Etsy banned me over repeated copyright offenses; but there are plenty of shops that are violating it as way. I guess they don’t mind copyright, but only take action when someone complains.","
    37
  ",3 years ago,36,3,23000,37
418,3,4,online copyright infringement,/watch?v=hoVD6oa-8EM,"How to File Copyrights Online - PA, SR & Multiple Works for One Fee",/user/MrGroovePhonic,86K views,7 years ago,0,"
              Peaches Chrenko
            ",Thank you thank you sooo much for this step by step walk through! Feel like you saved my life and took alot of the fear out of doing this. Just registered a bunch of works and it went just like you said! Feel like a weights been lifted. Thanks again..,"
    32
  ",7 years ago,84,7,86000,32
4,4,4,online copyright infringement,/watch?v=0JA4cK3NGXk,Etsy Copyright Infringement. Is Your Shop Breaking the Law?,/channel/UClnnOOjW0PUvRSShjyHQa4Q,23K views,3 years ago,0,"
              Chuck Monroe
            ","Most items on Etsy are counterfeit or unauthorized, so many starving artists getting burned, how do they get away with it?!?","
    31
  ",2 years ago (edited),24,2,23000,31
